,Country,crop,W_Mkt,W_Agri_Jobs,W_All_Jobs,Ctrl_Wsales,Perm_Mig,Phone_owner,GC_Sec_Edu,Elections,Active_Disc,Violence,Physical_Mob,PF,Ctrl_Comm,Ctrl_Subs,Inheritance,Irrigation,Pop,Pop_Growth,HHMkt,Mkt,U_Land,Town,Preschool,U_Secondary,Secondary,Clinic,Training,Bus,Electricity,Internet,Land,Farmer_Org
AF1,AF,wheat,0,25,30,Men,0,-25,0,None,0,3,4.29,-3,Men,Men,4,no,11250,80,100,Daily,no,1.5,no,yes,yes,yes,yes,yes,yes,no,0.69,1
AF2,AF,wheat,0,25,30,Men,0,-25,0,Both,0,1.1,6,0.75,Men,Men,4.8,yes,22500,93.33333333,100,Daily,no,25,yes,no,yes,yes,yes,no,no,no,2,9
AF3,AF,wheat,0,0,0,Men,0,-50,-25,Men,0,1,1.67,0,Men,Women,4,yes,1600,37.5,0,No,no,13,no,no,no,no,no,no,yes,no,2,0
AF4,AF,wheat,0,0,0,Men,0,-50,-25,Men,0,2,2.88,0,Men,Men,4,yes,10000,75,100,Daily,no,10,no,yes,yes,yes,no,no,no,no,1.5,0
BD1,BD,wheat,0,2,10,Men,0,-25,0,Both,1,1.9,3.4,0,Men,Women,2.6,yes,5000,40,100,Weekly,yes,13,yes,no,yes,yes,no,yes,yes,yes,0.27,3
BD2,BD,wheat,0,5,30,Both,0,-50,0,Both,2,2.4,4.44,1.6,Men,Men,4.6,yes,4000,25,75,Weekly,no,10,yes,no,no,no,no,yes,no,yes,0.4,10
BD3,BD,wheat,0,20,10,Both,0,-50,0,Both,1,2.7,3.2,1.18,Men,Men,3.4,no,3000,16.66666667,75,Weekly,no,3.5,yes,yes,yes,yes,no,yes,yes,yes,0.2,4
BD4,BD,wheat,0,10,15,Men,0,0,0,Both,5,2,3.5,0.4,Men,Both,3.8,yes,6000,25,50,Weekly,yes,1,yes,yes,yes,yes,no,yes,no,yes,0.27,9
BD5,BD,wheat,25,2,5,Men,0,-50,0,Both,0,1.8,4.9,1.3,Men,Men,2.3,no,3000,33.33333333,75,Daily,yes,2,yes,no,no,yes,no,yes,no,yes,0.4,7
BD6,BD,wheat,0,10,30,Both,0,-25,0,Both,0,3.6,4.9,1.1,Men,Men,4.3,yes,4000,37.5,100,Weekly,yes,35,no,yes,yes,no,no,no,no,no,0.4,8
ET1,ET,maize,75,0,15,Women,25,-50,0,Men,100,3,3.5,3.2,Men,Men,5,no,6992,39.93135011,75,Weekly,yes,10,no,no,no,yes,yes,no,no,no,1,2
ET2,ET,maize,25,30,40,Men,25,-50,-50,Both,10,3.2,6.1,2.5,Both,Both,5,no,3000,33.33333333,100,Weekly,no,18,yes,yes,no,yes,yes,no,no,no,1,5
ET3,ET,wheat,0,50,30,Both,0,-75,0,Men,0,1.9,5.8,0.9,Both,Both,5,no,10800,44.44444444,75,Weekly,yes,17,yes,yes,yes,yes,no,no,no,no,2,2
ET4,ET,wheat,75,5,6,Both,0,-75,0,Men,3,2.9,8.13,1.25,Both,Both,4,yes,4000,37.5,100,Weekly,no,11,yes,yes,no,no,no,no,no,no,2,3
ET5,ET,wheat,50,15,10,Women,0,-50,0,Men,6,2.6,4.7,1.1,Both,Both,4.1,yes,5652,46.92144374,100,No,no,12,no,yes,yes,yes,yes,yes,no,no,2.5,1
ET6,ET,wheat,75,15,20,Women,0,-25,-25,Men,10,3,6.5,0.7,Both,Both,4,no,3344,28.22966507,100,Weekly,no,12,no,yes,yes,yes,no,no,no,no,4,5
ET7,ET,maize,75,20,25,Men,0,-50,-25,Both,4,3.1,6,2.6,Both,Both,5,no,2560,65.625,75,Weekly,no,23,yes,yes,no,yes,yes,no,no,no,1.5,2
ET8,ET,maize,25,20,20,Both,0,-25,0,Men,3,3.3,2.3,2.9,Men,Women,4.3,yes,9000,80.55555556,25,Weekly,no,18,no,no,no,yes,no,no,no,no,1.5,2
IN1,IN,wheat,50,60,10,Men,0,-25,0,Both,6,1.6,3.6,1.75,Men,Both,4.63,yes,3500,34.28571429,75,Daily,yes,5,yes,yes,yes,yes,no,yes,yes,no,4,1
IN2,IN,wheat,0,60,15,Women,0,0,25,Men,5,2.7,4.5,1.8,Both,Women,4.7,yes,2400,41.66666667,100,Weekly,no,8,yes,yes,yes,yes,yes,yes,yes,yes,0.97,3
IN3,IN,wheat,0,50,55,Both,0,-50,0,Both,0,1.7,9.3,1,Both,Both,1.5,yes,1700,17.64705882,25,No,yes,20,yes,yes,no,yes,no,no,yes,yes,0.4,0
IN4,IN,wheat,0,10,7,Both,0,-50,0,Men,2,2.75,3,1,Both,Both,4.25,yes,600,33.33333333,25,Daily,yes,25,yes,no,no,no,no,yes,yes,no,0.61,1
IN5,IN,wheat,0,25,1,Men,0,-25,0,Men,1,2.67,1.44,1.63,Both,Women,4.13,yes,2000,45,25,Weekly,yes,10,yes,yes,no,no,yes,yes,yes,no,0.4,2
IN6,IN,wheat,0,30,65,Both,-25,-25,0,Men,5,2.7,7.3,1.44,Both,Both,3.78,yes,1500,46.66666667,25,Weekly,yes,30,yes,no,no,no,no,yes,yes,yes,0.81,1
IN7,IN,wheat,50,35,40,Both,0,-50,0,Men,5,2.1,6.4,1.5,Both,Both,4.6,yes,636,21.3836478,75,Weekly,yes,25,yes,yes,no,no,no,no,yes,no,0.81,3
IN8,IN,wheat,25,25,25,Men,0,0,0,Men,5,2.78,2.33,1.1,Both,Both,4,yes,500,20,50,Daily,yes,15,yes,yes,no,no,no,no,yes,no,2,2
IN9,IN,wheat,0,20,40,Men,0,-25,0,Both,2,2.38,3,1.7,Both,Both,4.7,yes,2800,10.71428571,75,Daily,yes,12,yes,yes,yes,yes,yes,yes,yes,yes,4.1,3
IN10,IN,wheat,0,50,60,Men,0,-25,0,Men,0,2.4,8.5,1.7,Both,Both,4.7,yes,2500,36,75,No,no,6,yes,yes,no,yes,no,yes,yes,yes,0.3,0
IN11,IN,wheat,0,75,0,Men,0,-75,0,Men,5,3.25,1.22,0.2,Both,Women,4,yes,2000,50,0,No,yes,15,yes,no,no,no,no,yes,yes,no,0.8,0
IN12,IN,wheat,0,20,30,Women,0,-50,0,Both,0,2,2.9,1.8,Both,Both,4.2,yes,3700,18.91891892,5,Daily,no,6,yes,yes,yes,no,no,no,yes,no,0.4,0
MO1,MO,wheat,0,15,10,Both,0,0,50,Men,0,4.17,4,2,Men,Men,4,yes,240,16.66666667,25,Weekly,yes,35,yes,yes,yes,yes,no,no,yes,yes,10,3
MO2,MO,wheat,25,15,10,Both,0,0,25,Men,0,1.17,5.75,1,Men,Men,3.17,yes,2000,25,25,Daily,yes,12,no,yes,no,no,no,no,yes,yes,5,2
